Index,Name,Description,Brand,Category,MRP Price,Currency,Stock,EAN,Color,Availability,Internal ID,Qty,Selling Price,Category Section,Availability Status,discount
1,Smart Fan Iron Cooker Go Wireless Portable,Catch enough role nearly.,Herman Ltd,Kids' Clothing,585.0,INR,194,3968600000000,Cornsilk,limited_stock,54,548,345.15,Apparel & Fashion,Available (Limited),239.85000000000002
2,Fan,All movement yeah tax me.,"Braun, King and Rollins",Grooming Tools,992.0,INR,724,191127000000,Bisque,discontinued,49,228,585.28,Beauty & Personal Care,Unavailable,406.72
3,Smart Speakerphone Charger Eco Plus Clean,Quickly inside pull line lay start.,Peck-Coleman,Fishing & Hunting,940.0,INR,769,7569140000000,Blue,pre_order,42,520,601.6,"Sports, Fitness & Outdoors",Temporarily Unavailable,338.4
4,Premium Grill Trimmer Portable,Lawyer one than fire.,Hines Ltd,Skincare,324.0,INR,93,2705140000000,Ivory,out_of_stock,93,251,178.2,Beauty & Personal Care,Unavailable,145.8
5,Keyboard Freezer,Remain Congress blood plan voice.,"Spence, Webster and Orr",Laptops & Computers,908.0,INR,614,9830390000000,FloralWhite,discontinued,91,602,572.04,Mobiles & Electronics,Unavailable,335.96000000000004
6,Smart Fridge Plus,Tell tend provide government voice.,"Marks, Guzman and Cooley",Kitchen Appliances,627.0,INR,901,3039250000000,LightSalmon,pre_order,29,187,351.12,Home & Living,Temporarily Unavailable,275.88
7,Compact Dock One Portable Wireless,Push role risk must get performance color.,Newman-Barajas,Fishing & Hunting,385.0,INR,366,6194770000000,MediumPurple,out_of_stock,23,132,281.05,"Sports, Fitness & Outdoors",Unavailable,103.94999999999999
8,Premium Cooler Digital Portable X,Fall opportunity southern drive professor top.,"Gutierrez, Singleton and Downs",Skincare,296.0,INR,609,6978360000000,PaleGreen,in_stock,6,471,198.32,Beauty & Personal Care,Available,97.68
9,Compact Fan Scooter Headphones,Medical myself his piece agree.,Weber and Sons,Clothing & Apparel,870.0,INR,930,2666730000000,DarkBlue,limited_stock,6,301,635.1,Apparel & Fashion,Available (Limited),234.89999999999998
10,Eco Dock Air,Know hope enjoy budget have.,Humphrey and Sons,Beauty & Personal Care,602.0,INR,923,3726210000000,SandyBrown,in_stock,11,362,325.08,Beauty & Personal Care,Available,276.92
11,Thermostat Stove Lamp,Pull perhaps customer available.,Moreno-Weaver,Kids' Clothing,707.0,INR,257,6886780000000,Thistle,discontinued,33,524,487.83,Apparel & Fashion,Unavailable,219.17000000000002
12,Mini Powerbank Lite Plus,Still can tell.,"Gentry, Vincent and Saunders",Makeup,499.0,INR,108,9632710000000,OldLace,pre_order,22,443,444.11,Beauty & Personal Care,Temporarily Unavailable,54.889999999999986
13,Scooter Bicycle Oven,Deal event item ever financial home.,Mclean-Aguilar,Laptops & Computers,79.0,INR,203,227868000000,LightSkyBlue,in_stock,58,192,55.3,Mobiles & Electronics,Available,23.700000000000003
14,Fan,It minute eight mother often focus ever.,Mcdaniel LLC,Toys & Games,897.0,INR,338,1326980000000,MediumBlue,limited_stock,67,975,753.48,"Toys, Books & Office",Available (Limited),143.51999999999998
15,Wireless Light Heater Clock X,Sing statement show future size hard hope.,Sosa LLC,Grooming Tools,581.0,INR,877,4749140000000,DarkTurquoise,limited_stock,84,62,540.33,Beauty & Personal Care,Available (Limited),40.66999999999996
16,Ultra Powerbank Scale Automatic,Against or catch tough nor wait reason.,Macias Group,Fishing & Hunting,223.0,INR,62,6282370000000,Azure,pre_order,93,777,202.93,"Sports, Fitness & Outdoors",Temporarily Unavailable,20.069999999999993
17,Projector,Party everybody bill work condition behind great share.,Ali Group,Men's Clothing,699.0,INR,762,3359910000000,DeepSkyBlue,in_stock,89,299,363.48,Apparel & Fashion,Available,335.52
18,Blender,Bit dog upon sometimes trade.,Gray-Deleon,Camping & Hiking,881.0,INR,34,2045940000000,DarkSeaGreen,discontinued,83,919,704.8,"Sports, Fitness & Outdoors",Unavailable,176.20000000000005
19,Wireless Speakerphone Oven Advanced,Something the interview actually book white easy.,"Yates, Logan and Cervantes",Grooming Tools,601.0,INR,26,4270230000000,BlanchedAlmond,out_of_stock,76,74,462.77,Beauty & Personal Care,Unavailable,138.23000000000002
20,Iron Microphone,High see avoid draw check.,"Acosta, Sullivan and Chaney",Men's Clothing,261.0,INR,80,1846210000000,OldLace,discontinued,45,429,161.82,Apparel & Fashion,Unavailable,99.18
21,Lock,Who seven meeting ball trouble ago cover.,Mullins-Dodson,Fishing & Hunting,350.0,INR,842,651020000000,LavenderBlush,in_stock,22,124,206.5,"Sports, Fitness & Outdoors",Available,143.5
22,Automatic Speaker Wireless Plus Edge,Near physical blood number never and.,Farrell-Ramos,Cleaning Supplies,726.0,INR,215,8872340000000,LemonChiffon,limited_stock,69,666,522.72,Home & Living,Available (Limited),203.27999999999997
23,Eco Treadmill Plus Smart,Despite truth develop cover move serve describe it.,Bautista-Allen,Headphones & Earbuds,756.0,INR,148,3581170000000,SaddleBrown,discontinued,65,129,551.88,Mobiles & Electronics,Unavailable,204.12
24,Smart Microphone Clock Ultra One,Open section note all.,Larson LLC,Home & Kitchen,17.0,INR,687,8108500000000,CadetBlue,pre_order,1,950,9.52,Home & Living,Temporarily Unavailable,7.48
25,Digital Router Scanner One,Suffer event thought entire add.,"Bryan, Benitez and Barton",Haircare,257.0,INR,130,3287430000000,DarkSalmon,in_stock,27,82,143.92,Beauty & Personal Care,Available,113.08000000000001
